Scenario,Arrow Source,Intersection Type,Figure Type,Int. ID 1,EB Road Name ,WB Road Name,SB Road Name,NB Road Name ,@image_light,NB1,@image_NB1.0,@image_NB1.1,@image_NB1.2,NB2,@image_NB2.0,@image_NB2.1,@image_NB2.2,NB3,@image_NB3.0,@image_NB3.1,@image_NB3.2,NB4,@image_NB4.0,@image_NB4.1,@image_NB4.2,NB5,@image_NB5.0,@image_NB5.1,@image_NB5.2,NB6,@image_NB6.0,@image_NB6.1,@image_NB6.2,@image_NB_sign,EB1,@image_EB1.0,@image_EB1.1,@image_EB1.2,EB2,@image_EB2.0,@image_EB2.1,@image_EB2.2,EB3,@image_EB3.0,@image_EB3.1,@image_EB3.2,EB4,@image_EB4.0,@image_EB4.1,@image_EB4.2,EB5,@image_EB5.0,@image_EB5.1,@image_EB5.2,EB6,@image_EB6.0,@image_EB6.1,@image_EB6.2,@image_EB_sign,WB1,@image_WB1.0,@image_WB1.1,@image_WB1.2,WB2,@image_WB2.0,@image_WB2.1,@image_WB2.2,WB3,@image_WB3.0,@image_WB3.1,@image_WB3.2,WB4,@image_WB4.0,@image_WB4.1,@image_WB4.2,WB5,@image_WB5.0,@image_WB5.1,@image_WB5.2,WB6,@image_WB6.0,@image_WB6.1,@image_WB6.2,@image_WB_sign,SB1,@image_SB1.0,@image_SB1.1,@image_SB1.2,SB2,@image_SB2.0,@image_SB2.1,@image_SB2.2,SB3,@image_SB3.0,@image_SB3.1,@image_SB3.2,SB4,@image_SB4.0,@image_SB4.1,@image_SB4.2,SB5,@image_SB5.0,@image_SB5.1,@image_SB5.2,SB6,@image_SB6.0,@image_SB6.1,@image_SB6.2,@image_SB_sign
Dist,Build Geo_RIRO,Normal,Distribution,1,N Peters Rd,N Peters Rd,Market Place Blvd,Market Place Blvd,\signal_black.eps,0% (10%),\arrows_left_black.eps,,,0% (0%),\arrows_through_black.eps,,,25% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,0% (0%),\arrows_left_black.eps,,,20% (0%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,0% (5%),\arrows_left_black.eps,,,0% (10%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,0% (0%),\arrows_left_black.eps,,,0% (0%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,
Dist,Build Geo_RIRO,Normal,Distribution,2,N Peters Rd,N Peters Rd,N Cedar Bluff Rd,N Cedar Bluff Rd,\signal_black.eps,15% (0%),\arrows_left_black.eps,,,0% (0%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,0% (40%),\arrows_left_black.eps,,,0% (15%),\arrows_through_black.eps,,,0% (45%),\arrows_right_black.eps,,,,,,,,,,,,,,,,0% (0%),\arrows_left_black.eps,,,0% (15%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,0% (0%),\arrows_left_black.eps,,,0% (0%),\arrows_through_black.eps,,,40% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,
Dist,Build Geo_RIRO,Normal,Distribution,3,Kingston Pk,Kingston Pk,N Cedar Bluff Rd,N Cedar Bluff Rd,\signal_black.eps,0% (0%),\arrows_left_black.eps,,,0% (0%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,5% (0%),\arrows_left_black.eps,,,0% (0%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,0% (0%),\arrows_left_black.eps,,,0% (0%),\arrows_through_black.eps,,,10% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,0% (10%),\arrows_left_black.eps,,,0% (0%),\arrows_through_black.eps,,,0% (35%),\arrows_right_black.eps,,,,,,,,,,,,,,,
Dist,Build Geo_RIRO,Normal,Distribution,4,N Peters Rd,N Peters Rd,Advantage Pl,Site Driveway,,0% (100%),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,,,,,\stop_blue.eps,0% (0%),\arrows_left_black.eps,,,0% (0%),\arrows_through_black.eps,,,100% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,55% (15%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,,0% (0%),\arrows_left_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,\stop_black.eps
Trips,Build Geo_RIRO,Normal,Trips,1,N Peters Rd,N Peters Rd,Market Place Blvd,Market Place Blvd,\signal_black.eps,(16) 5,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,,,,,,(13) 4,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,,6 (4),\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trips,Build Geo_RIRO,Normal,Trips,2,N Peters Rd,N Peters Rd,N Cedar Bluff Rd,N Cedar Bluff Rd,\signal_black.eps,(10) 3,\arrows_left_black.eps,,,,,,,,,,,,,,,,,,,,,,,,(15) 25,\arrows_left_black.eps,,,(6) 9,\arrows_through_black.eps,,,(17) 28,\arrows_right_black.eps,,,,,,,,,,,,,,,,9 (6),\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,,8 (26),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,,,,,
Trips,Build Geo_RIRO,Normal,Trips,3,Kingston Pk,Kingston Pk,N Cedar Bluff Rd,N Cedar Bluff Rd,\signal_black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,(3) 1,\arrows_left_black.eps,,,,,,,,,,,,,,,,,,,,,,,,2 (6),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,,,,,,6 (4),\arrows_left_black.eps,,,22 (13),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,
Trips,Build Geo_RIRO,Normal,Trips,4,N Peters Rd,N Peters Rd,Advantage Pl,Site Driveway,,(38) 62,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,,,,,\stop_blue.eps,(64) 20,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,,,,,,20 (41),\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\stop_black.eps
Build Vol,Build Geo_RIRO,Normal,Volume,1,N Peters Rd,N Peters Rd,Market Place Blvd,Market Place Blvd,\signal_black.eps,(137) 82,\arrows_left_black.eps,,,(19) 3,\arrows_through_black.eps,,,(163) 123,\arrows_right_black.eps,,,,,,,,,,,,,,,,(42) 4,\arrows_left_black.eps,,,(934) 457,\arrows_through_black.eps,,,(237) 92,\arrows_right_black.eps,,,,,,,,,,,,,,,,181 (195),\arrows_left_black.eps,,,1013 (796),\arrows_through_black.eps,,,10 (45),\arrows_right_black.eps,,,,,,,,,,,,,,,,15 (26),\arrows_left_black.eps,,,6 (13),\arrows_through_black.eps,,,4 (19),\arrows_right_black.eps,,,,,,,,,,,,,,,
Build Vol,Build Geo_RIRO,Normal,Volume,2,N Peters Rd,N Peters Rd,N Cedar Bluff Rd,N Cedar Bluff Rd,\signal_black.eps,(55) 34,\arrows_left_black.eps,,,(727) 584,\arrows_through_black.eps,,,(53) 20,\arrows_right_black.eps,,,,,,,,,,,,,,,,(774) 522,\arrows_left_black.eps,,,(282) 115,\arrows_through_black.eps,,,(98) 61,\arrows_right_black.eps,,,,,,,,,,,,,,,,25 (43),\arrows_left_black.eps,,,103 (150),\arrows_through_black.eps,,,534 (630),\arrows_right_black.eps,,,,,,,,,,,,,,,,385 (617),\arrows_left_black.eps,,,538 (865),\arrows_through_black.eps,,,1077 (920),\arrows_right_black.eps,,,,,,,,,,,,,,,
