Lane Group Data,,,,,,,,,,,,,,,,,
RECORDNAME,INTID,EBU,EBL,EBT,EBR,WBU,WBL,WBT,WBR,NBU,NBL,NBT,NBR,SBU,SBL,SBT,SBR
Volume,1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
Volume,2,0,0.05,0.15,0,0,0,0,0,0,0.1,0.05,0.05,0,0.05,0,0.05
Volume,3,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.3,0
Volume,4,0,0.25,0.2,0,0,0,0,0.15,0,0,0,0,0,0,0,0
Volume,5,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0.15,0.1,0.1
Volume,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volume,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volume,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volume,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volume,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
