Lane Group Data,,,,,,,,,,,,,,,,,
RECORDNAME,INTID,EBU,EBL,EBT,EBR,WBU,WBL,WBT,WBR,NBU,NBL,NBT,NBR,SBU,SBL,SBT,SBR
Volume,1,0,0,0,0,0,0,0,20,0,0,0,0,11,11,0,0
Volume,2,0,8,15,6,3,3,9,3,10,10,5,5,5,5,3,8
Volume,3,0,0,0,0,5,5,0,0,0,0,17,3,0,0,29,0
Volume,4,0,25,20,0,0,0,11,15,0,0,0,0,9,9,0,14
Volume,5,0,6,0,3,3,3,0,9,5,5,6,5,15,15,10,10
Volume,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volume,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volume,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volume,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volume,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
