Lane Group Data,,,,,,,,,,,,,,,,,
RECORDNAME,INTID,EBU,EBL,EBT,EBR,WBU,WBL,WBT,WBR,NBU,NBL,NBT,NBR,SBU,SBL,SBT,SBR
Volume,1,,17,63,0,,0,87,73,,0,0,0,,130,0,17
PHF,1,0.841121495,0.841121495,0.841121495,0.841121495,0.841121495,0.841121495,0.841121495,0.841121495,0.841121495,0.841121495,0.841121495,0.841121495,0.841121495,0.841121495,0.841121495,0.841121495
Peds,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HeavyVehicles,1,2,29,27,2,2,2,8,5,2,2,2,2,2,2,2,6
Volume,2,,22,5,28,,4,13,4,,26,62,2,,2,109,25
PHF,2,0.873188406,0.873188406,0.873188406,0.873188406,0.873188406,0.873188406,0.873188406,0.873188406,0.873188406,0.873188406,0.873188406,0.873188406,0.873188406,0.873188406,0.873188406,0.873188406
Peds,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HeavyVehicles,2,2,2,2,2,2,2,2,2,2,4,12,2,2,2,2,2
Volume,3,,0,0,0,,57,0,5,,0,81,24,,2,77,0
PHF,3,0.818548387,0.818548387,0.818548387,0.818548387,0.818548387,0.818548387,0.818548387,0.818548387,0.818548387,0.818548387,0.818548387,0.818548387,0.818548387,0.818548387,0.818548387,0.818548387
Peds,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HeavyVehicles,3,2,2,2,2,2,2,2,2,2,2,9,10,2,50,2,2
Volume,4,,8,42,0,,0,59,5,,0,0,0,,13,0,21
PHF,4,0.873188406,0.873188406,0.873188406,0.873188406,0.873188406,0.873188406,0.873188406,0.873188406,0.873188406,0.873188406,0.873188406,0.873188406,0.873188406,0.873188406,0.873188406,0.873188406
Peds,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HeavyVehicles,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Volume,5,,8,0,4,,4,0,13,,2,84,2,,5,127,3
PHF,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peds,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HeavyVehicles,5,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2
Volume,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0
PHF,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peds,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HeavyVehicles,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Volume,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0
PHF,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peds,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HeavyVehicles,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Volume,8,,0,0,0,,0,0,0,,0,0,0,,0,0,0
PHF,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peds,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HeavyVehicles,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Volume,9,,0,0,0,,0,0,0,,0,0,0,,0,0,0
PHF,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peds,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HeavyVehicles,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Volume,10,,0,0,0,,0,0,0,,0,0,0,,0,0,0
PHF,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peds,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HeavyVehicles,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
